Item 1,Item 2,Item 3
1,1,0
0,1,1
1,1,0
0,0,1
1,0,0
0,0,0
0,0,1
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
1,1,0
0,1,1
0,0,0
1,1,0
1,1,1
0,0,0
1,1,1
0,0,1
1,0,0
1,0,0
1,1,0
1,1,1
0,0,0
1,1,1
1,1,0
1,0,0
1,1,1
1,0,0
0,0,0
0,0,0
1,1,1
0,0,1
1,0,1
1,1,0
1,1,1
1,1,0
1,1,1
1,0,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,0
1,1,1
1,1,0
1,1,0
1,0,0
1,0,0
1,0,0
1,1,1
1,0,0
1,0,0
1,1,1
1,0,0
1,1,0
1,0,0
1,1,0
1,1,1
1,1,0
1,0,1
1,1,0
1,1,0
1,0,0
1,1,1
1,1,1
1,1,1
1,0,1
1,0,1
1,1,1
1,1,1
1,0,0
1,1,1
1,0,0
1,0,0
0,1,1
1,0,0
1,1,1
1,1,1
1,1,1
1,1,1
1,1,0
1,1,1
1,0,0
1,1,0
0,0,0
1,1,1
1,1,1
1,0,0
1,1,0
1,0,0
1,1,1
1,1,0
1,1,1
1,0,0
0,0,0