,1PL,,2PL,,3PL,
item,S_X2,p.S_X2,S_X2,p.S_X2,S_X2,p.S_X2
mathc1,23.05657466,0.457471238,23.05657466,0.457471238,23.87995362,0.3535534
mathc2,30.47430601,0.1073846,30.47430601,0.1073846,28.60238722,0.123879273
mathc3,22.45658067,0.492850485,22.45658067,0.492850485,21.70642006,0.477524361
mathc4,19.22544394,0.631368883,19.22544394,0.631368883,17.45584903,0.683130817
mathc5,52.83623335,0.001419356,52.83623335,0.001419356,39.3238016,0.018276822
mathc6,26.84610964,0.217129791,26.84610964,0.217129791,23.99486044,0.293307625
mathc7,30.43237883,0.170831614,30.43237883,0.170831614,30.82688343,0.127105867
mathc8,31.52349,0.139255231,31.52349,0.139255231,23.07467141,0.456417512
mathc9,16.42994321,0.689618702,16.42994321,0.689618702,12.86702661,0.799411278
mathc11,17.47872473,0.736408678,17.47872473,0.736408678,16.8747334,0.718671192
mathc12,22.83003383,0.529849467,22.83003383,0.529849467,20.69822942,0.599510438
mathc13,24.64835883,0.262714922,24.64835883,0.262714922,19.38995349,0.368188999
mathc14,23.11881101,0.512793567,23.11881101,0.512793567,20.50689075,0.611173135
mathc15,21.04088979,0.690327402,21.04088979,0.690327402,17.23510512,0.79755718
mathc16,25.32705252,0.388166386,25.32705252,0.388166386,22.75499043,0.534297599
mathc17,17.96789386,0.804563069,17.96789386,0.804563069,17.15840227,0.801406628
mathc18,22.31730774,0.501171403,22.31730774,0.501171403,19.12466739,0.637617983
mathc19,20.76289819,0.70575314,20.76289819,0.70575314,20.19946835,0.685378059
mathc21,33.25771189,0.124749988,33.25771189,0.124749988,23.34501636,0.440781378
mathc22,20.40460271,0.673550145,20.40460271,0.673550145,20.81142112,0.592602707
mathc23,14.49389407,0.952425287,14.49389407,0.952425287,13.52688859,0.956624612
mathc24,21.08131485,0.633923658,21.08131485,0.633923658,21.06282555,0.577250715
mathc25,21.33304535,0.560756764,21.33304535,0.560756764,21.43601988,0.493949289
mathc26,17.67297193,0.818578338,17.67297193,0.818578338,18.2239543,0.745230729
mathc27,29.11872731,0.11118013,29.11872731,0.11118013,27.44293811,0.156668487
mathc28,24.16696597,0.235174825,24.16696597,0.235174825,23.94696612,0.198194541
mathc29,16.37245624,0.838866831,16.37245624,0.838866831,14.25286549,0.892262032
mathc31,24.73822184,0.477118758,24.73822184,0.477118758,22.29393339,0.50257136
mathc32,22.57247195,0.545138296,22.57247195,0.545138296,21.63499815,0.542368173
mathc33,21.20445054,0.568603444,21.20445054,0.568603444,8.064426849,0.994865175
mathc34,26.8718271,0.362318067,26.8718271,0.362318067,24.87977864,0.412317215
mathc35,32.77028967,0.204756399,32.77028967,0.204756399,35.39664902,0.103335641
mathc36,25.18233316,0.340953222,25.18233316,0.340953222,23.76808064,0.35950262