mathc1,mathc2,mathc3,mathc4,mathc5,mathc6,mathc7,mathc8,mathc9,mathc10,mathc11,mathc12,mathc13,mathc14,mathc15,mathc16,mathc17,mathc18,mathc19,mathc20,mathc21,mathc22,mathc23,mathc24,mathc25,mathc26,mathc27,mathc28,mathc29,mathc30,mathc31,mathc32,mathc33,mathc34,mathc35,mathc36
4,1,5,2,5,4,5,1,4,3,5,2,5,1,5,4,2,1,4,5,3,1,1,3,4,1,5,5,1,2,3,3,4,2,4,4
4,2,5,3,5,4,1,3,4,1,5,1,3,4,5,3,2,3,4,1,3,4,2,5,2,3,4,3,1,5,4,3,2,1,3,2
1,2,5,2,5,5,4,3,4,2,4,5,5,4,4,4,3,1,3,3,4,1,2,1,2,1,4,1,1,4,4,3,4,2,3,3
4,3,5,3,2,4,2,2,4,3,4,1,5,3,4,3,3,3,4,1,4,1,1,1,4,5,1,5,4,2,4,3,4,1,4,5
4,3,5,2,2,4,5,1,4,4,4,2,5,3,4,1,2,1,4,5,4,1,3,1,4,1,5,5,4,2,3,3,4,1,5,3
1,2,2,2,5,1,3,1,4,3,4,1,5,1,4,3,1,1,4,4,4,1,1,4,3,3,1,1,2,4,4,3,3,2,3,3
4,2,5,2,5,4,2,3,4,4,4,2,5,3,5,3,5,1,4,4,3,1,3,1,4,1,5,5,4,3,5,3,4,1,2,1
4,3,5,1,1,4,5,3,4,3,4,1,5,3,4,3,2,4,4,1,4,1,3,1,4,1,5,5,4,2,3,4,4,1,2,3
3,3,2,2,2,4,2,5,4,2,5,1,3,3,5,3,5,4,4,5,2,4,4,4,2,2,3,2,1,2,3,3,1,2,5,2
4,3,5,2,2,4,5,1,4,3,4,2,5,3,4,1,2,1,4,3,4,1,3,1,4,1,5,5,4,3,4,3,4,3,2,3
4,3,3,5,2,4,1,5,2,2,1,4,5,1,5,5,3,3,4,1,4,1,2,2,5,1,5,4,1,3,3,3,4,3,5,2
4,3,5,2,2,1,2,3,2,3,4,2,3,1,5,1,5,4,3,1,5,1,3,1,4,5,3,1,1,3,2,2,1,5,5,3
1,1,2,2,5,5,2,3,3,2,5,4,3,4,2,4,5,1,4,4,5,4,2,4,5,1,4,5,1,3,3,1,1,5,3,2
4,3,5,2,3,4,5,3,4,3,4,1,5,3,5,3,2,1,4,3,4,1,3,1,4,1,5,5,4,2,3,3,4,1,3,5
4,3,5,2,2,5,5,3,4,2,4,2,5,1,5,1,2,1,3,5,4,1,3,1,4,1,5,5,4,2,4,2,4,2,3,4
4,3,5,4,3,4,5,1,4,4,4,1,5,5,5,3,2,4,4,3,4,2,2,1,4,4,2,1,1,3,4,3,4,1,1,3
4,2,4,1,5,4,2,1,4,2,1,2,2,3,5,5,2,1,2,3,1,3,2,3,4,4,2,1,5,2,3,3,4,4,2,3
4,3,5,2,5,4,5,3,4,3,4,1,5,5,5,1,2,1,4,3,4,1,3,4,4,1,5,2,3,3,4,3,4,3,3,5
4,1,4,5,5,3,1,1,4,3,5,5,5,4,2,3,5,4,4,4,5,4,1,1,2,3,1,1,1,4,1,3,4,2,2,1
1,3,5,5,2,1,2,1,1,1,1,4,3,1,4,1,2,4,2,5,4,3,5,4,3,5,1,1,2,4,2,1,4,5,3,4
1,3,4,3,5,3,5,3,4,2,5,4,5,1,5,2,5,1,1,3,4,1,4,1,3,1,2,2,1,2,3,2,1,2,2,1
1,3,4,2,3,1,3,1,4,2,5,1,3,1,5,1,3,3,3,1,3,3,1,1,4,4,4,1,2,3,3,3,2,1,3,4
4,3,5,2,2,4,2,3,4,3,4,2,5,3,5,1,2,4,4,4,3,1,3,1,4,4,5,5,4,2,4,3,4,3,3,3
3,3,2,2,5,5,1,4,4,3,4,2,5,1,4,3,2,4,4,1,3,4,4,2,2,3,1,5,1,3,5,4,2,4,2,1
4,3,5,2,5,4,5,3,4,2,4,2,5,3,4,3,5,4,3,3,4,1,3,1,4,1,5,5,5,2,5,4,3,1,3,4
1,1,2,3,2,3,3,2,4,1,4,4,3,4,5,3,3,4,3,2,3,4,4,5,4,4,2,1,2,3,2,3,5,5,3,4
3,3,1,2,3,4,5,3,1,2,2,2,5,1,4,1,5,4,4,1,4,2,2,1,4,5,4,5,1,4,4,3,3,4,3,2
1,2,2,3,5,1,5,4,4,3,4,3,2,1,3,4,2,4,1,4,4,3,3,1,5,1,2,1,4,4,5,4,4,1,2,1
4,3,5,2,5,4,2,3,4,2,4,2,5,1,5,4,3,2,3,1,5,1,2,1,4,1,1,1,5,4,3,3, ,2,4,3
4,3,5,2,5, ,5,3,4,4,4,4,5,5,2,1,5,1,4,3,2,1,5,1,2,4,5,5,4,2,5,3,3,1,2,1
4,2,5,5,3,1,2,1,4,2,4,5,5,1,4,5,4,4,1,1,4,4,5,3,4,2,1,1,5,5,4,1,1,1,2,1
1,1,5,2,5,4,4,2,4,3,4,2,5,3,5,4,5,2,3,2,3,1,4,4,2,3,5,5,4,5,5,4,3,5,2,4
4,3,5,2,5,2,5,3,4,3,4,2,5,3,4,3,5,4,3,2,3,4,4,2,2,1,5,1,4,4,3,3,4,1,2,5
1,3,2,1,3,2,4,1,3,1,4,4,2,5,3,2,5,4,2,3,2,2,1,3,3,3,5,1,3,4,3,3,2,3,4,3
4,3,5,1,1,2,5,4,4,2,5,4,3,4,5,3,5,3,1,5,2,3,4,1,4,1,5,1,4,1,2,3,2,2,3,2
4,3,2,3,2,4,2,1,5,1,4,5,5,1,2,3,1,3,3,5,3,1,4,1,4,3,2,1,3,2,2,3,2,1,3,1
4,3,5,2,3,4,5,3,4,3,3,1,5,1,5,3,3,4,4,1,4,1,3,1,4,1,5,5,4,4,4,3,4,1,3,3
1,2,1,4,2,4,5,3,4,1,5,2,4,3,5,1,2,4,3,5,2,1,3,4,2,1,4,5,2,3,3,2,1,2,2,2
4,3,2,2,5,4,2,3,1,3,4,4,5,5,5,1,3,3,4,4,4,1,3,2,3,5,5,2,3,3,2,3,4,2,3,4
4,3,5,2,2,4,5,3,4,3,4,2,5,3,5,1,5,1,4,3,4,1,3,1,4,1,5,5,4,2,4,3,4,1,2,5
4,3,5,2,5,4,3,3,4,1,4,2,5,4,4,1,3,5,2,1,4,1,2,2,4,5,3,5,4,1,2,2,2,1,5,3
4,1,4,3,4,5,2,1,4,1,4,2,5,3,3,2,1,3,3,1,1,3,4,1,4, ,2,1,4,5,4,2,5,1,4,3
4,3,2,2,5,4,2,2,4,5,1,3,3,5,1,1,5,4,4,3,3,3, , , ,3,5,1,2, , ,1, ,1,4, 
4,3,5,1,5,4,5,1,4,3,4,5,5,3,4,3,4,2,3,3,3,1,3,1,4,1,3,5,4,5,4,3,5,5,2,3
4,3,1,2,3,5,5,2,4,2,4,5,5,3,2,5,5,1,4,3,3,5,5,1,2,1,5,1,5,1,3,3,4,5,3,3
4,3,4,2,2,4,3,3,4,1,4,2,5,1,4,3,2,1,5,3,4,1,3,1,5,4,4,5,1,1,4,3,4,5,3,5
4,3,2,2,3,4,5,1,4,2,2,2,5,3,5,3,2, ,5,4,4,1,3,1,4,3,5,5,4,1, ,3,4,1,5,3
4,3,5,2,5,4,5,2,4,3,4,4,5,3,2,1,1,1,1,2,4,2,4,2,4,4,5,5,4,1,5,3,4,3,2,1
1,3,3,2,2,4,4,1,4,2,1,1,5,1,3,1,3,4,3,1,4,2,1,4,2,4,5,1,1,2,3,3,5,2,3,3
3,3,5,2,5,4,5,1,4,2,4,5,5,5,2,3,4,4,3,1,3,1,4,1,4,5,5,1,1,5,4,1,4,3,4,5
4,3,4,2,5,4,5,3,4,2,4,3,5,3,5,5,2,1,4,2,3,1,3,1,4,1,1,1,4,5,4,2,4,1,4,5
4,3,5,2,3,4,2,1,4,4,5,2,5,3,3,3,5,3,1,3,3,1,3,3,3,4,3,1,3,4,4,3,1,1,4,3
3,3,3,5,5,4,5,3,4,2,1,1,4,1,4,1,5,4,3,5,4,4,5,4,1,4,1,1,1,5,3,1,4,2,5,1
1,1,3,3,2,4,2,2,4,1,2,2,4,3,4,3,5,4,4,2,4,5,2,1,2,1,4,1,3,5,4,3,4,1,5,1
4,2,5,2,1,2,3,2,4,3,2,4,3,5,4,4,2,1,3,4,5,5,2,2,2,1,2,1,4,5,3,3,3,1,4,1
4,3,1,2,1,4,5,3,1, ,4, ,5,3,5,1,5,1,2, , ,1,1,3,4,1,2,1,1,5,3,3, , ,1, 
4,3,5,2,2,4,5,3,4,3,5,2,5,1,3,1,1,1,2,1,1,1,5,1,4,5,5,5,5,3,2,3,4,1,3,4
1,3,2,3,5,4,1,1,2,2,5,1,5,4,2,2,1,4,4,1,3,1,5,3,2,1,5,1,4,2,3,3,4,4,5,2
3,3,1,1,2,1,5,1,4,3,5,4,3,1,3,4,1,4,4,1,1,2,4,1,3,5,2,2,1,4,5,1,1,5,3,3
1,2,2,5,3,4,2,1,4,3,5,5,2,1,3,4,1,3,2,1,1,4,2,2,2,3,4,1,1,4,3,3,1,5,3,1
4,3,5,2,3,4,5,3,4,3,4,1,5,3,5,1,2,2,4,1,4,1,3,1,4,1,5,5,4,2,3,3,4,1,2,4
4,1,5,2,5,4,2,3,4,3,4,2,5,5,5,1,2,1,4,1,4,3,4,1,4,1,5,5,4,3,3,4,4,1,2,3
4,3,4,5,3,4,5,1,4,2,5,4,5,4,4,1,5,4,1,3,5,1,3,1,3,1,1,1,2,4,3,5,4,5,3,3
4,3,2,2,2,3,4,2,3,2,5,4,3,3,3,5,1,4,3,1,3,1,4,3,2,1,3,1,2,1,3,1,2,3,5,3
2,3,5,5,4,3,1,1,4,1,3,1,5,3,2,3,1,4,4,2,4,2,1,1,3,4,2,1,1,4,2,3,4,2,1,1
3,2,3,2,5,2,4,4,3,4,5,2,3,1,3,3,1,3,2,5,3,2,2,1,4,2,5,3,2,1,4,1,4,1,3,3
4,3,5,2,2,4,5,1,4,1,4,1,5,4,4,1,2,1,4,5,4,1,2,4,4,1,5,5,4,4,5,3,4,1,3,4
4,3,2,1,2,3,5,3,4,3,5,2,5,5,4,3,2,1,3,5,4,1,3,1,5,1,5,1,4,2,1,3,5,2,3,4
4,3,5,2,2,4,5,3,4,3,4,2,5,4,2,1,5,1,4,4,4,1,3,1,4,4,5,5,5,2,3,3,4,1,2,5
4,1,2,2,5,4,5,3,4,2,5,1,5,4,4,1,3,1,4,1,4,2,3,2,4,1,1,1,1,2,3,4,5,1,5,1
4,3,5,2,5,4,3,3,1,1,1,2,3,1,2,1,2,4,3,2,4,1,3,5,3,5,5,1,4,2,4,3,2,4,4,1
3,2,1,1,3,5,5,1,5,2,4,5,5,1,3,2,2,4,4,2,3,4,2,5,4,1,5,2,1,5,1,3,1,5,5,1
4,3,5,2,2,4,5,3,4,2,4,2,5,3,2,2,1,1,4,1,1,1,3,1,4,1,5,5,2,4,4,4,4,2,3,2
4,3,5,2,2,4,5,3,4,3,4,4,5,3,5,1,2,1,5,3,4,1,3,1,4,3,5,5,4,2,4,3,4,4,2,5
4,5,5,3,5,4,5,3,4,2,1,4,5,1,4,1,2,4,5,5,2,1,3,1,3,5,2,1,4,4,3,3,2,1,3,4
4,3,5,2,2,4,5,3,4,3,4,2,5,3,5,1,5,1,4,3,4,1,3,1,4,1,1,5,3,2, ,3,2,5,2,5
5,2,2,2,2,2,3,3,4,2,3,2,2,3,3,2,3,3,4,1,3,1,3,4,2,3,4,2,1,3,2,4,3,4,2,4
4,3,5,2,5,3,3,3,4,2,4,4,5,3,1,1,2, , ,2,4,1,3,4,2,1,5,5,3, , ,3,4,3,2, 
4,3,1,1,5,4,2,3,4,2,4,2,5,4,5,1,5,1,4,2,3,1,3,1,4,1,5,5,5,2,4,3,1,2,2,3
1,3,4,5,2,5,2,3,5,2,4,4,5,1,3,3,3,5,4,2,4,5,5,1,2,5,2,5,2,5,2,5,4,1,4,3
4,3,5,2,5,4,5,3,4,1,5,1,5,3,4,1,1,1,2,4,3,1,3,3,1,4,5,5,4,2,3,3,5,2,3,5
1,3,5,2,2,3,5,3,4,3,2,1,5,4,4,3,2,4,4,1,4,1,3,1,3,1,4,1,2,4,1,3,5,1,3,5
4,3,3,3,4,4,5,3,4,2,5,2,5,4,5,1,5,4,4,1,4,1,4,4,4,1,5,5,4,1,3,3,4,3,5,4
4,1,5,2,5,4,5,3,4,1,5,2,5,3,4,3,3,4,3,4,3,1,4,1,4,5,5,1,2,5,4,3,1,1,3,1
1,3,4,2,5,1,5,3,4,2,4,2,5,3,5,1,3,3,4,1,3,5,3,1,4,1,5,5,4,2,4,3,4,1,5,2
4,3,2,2,2,4,5,3,1,2,4,4,5,3,5,1,2,2,4,1,4,1,1,4,4,1,5,5,1,2,3,3,4,2,2,4
4,3,4,2,5,5,5,1,4,2,4,2,5,4,4,1,5,3,4,1,4,1,4,5,4,4,5,5,2,1,5,1,4,5,4,3
4,2,5,3,2,4,1,1,4,2,4,2,3,1,3,1,3,4,1,1,4,1,3,1,2,1,1,5,4,3,4,3,4,1,4,3
4,3,5,3,1,1,5,3,4,5,3,2,5,3,5,3,1,1,3,2,4,2,4,2,5,1,5,4,4,3,2,4,1,5,2,3
3,3,2,3,2,4,2,2,4,2,4,1,2,3,5,1,2,4,3,1,3,5,3,1,4,3,5,2,4,2,4,3,3,4,2,5
4,3,4,3,5,4,5,3,4,3,5,2,5,1,5,1,1,1,4,3,5,1,4,4,2,4,5,1,4,2,3,3,5,1,2,2
4,1,5,2,2,4,3,3,4,3,4,1,5,4,5,2,4,1,4,2,4,1,2,1,4,4,5,5,4,1,4,3,4,5,3,2
4,3,2,3,3,4,3,3,4,2,4,2,1,3,5,1,3,4,3,5,4,1,3,4,2,1,2,1,4,4,3,3,1,1,2,2
4,3,5,2, , , , ,4,1,4, , , , ,2,4, , , , , , , , , , , , , , , , , , , 
3,1,5,3,5,4,4,3,1,2,4,2,1,3,3,4,1,2,3,2,5,1,3,4,2,4,5,1,4,2,3,4,5,2,3,4
4,3,5,2,5,4,2,3,4,3,4,2,5,3,5,1,2,2,4,3,5,1,3,4,4,4,1,5,4,2,3,4,2,3,2,2
4,3,5,2,2,4,5,3,4,3,4,2,5,3,5,5,2,3,2,2,4,1,2,1,4,4,5,5,2,5,2,3, , , , 
4,3,4,2,2,4,5,3,4,3,4,2,5,3,5,1,3,3,4,3,4,1,3,1,4,1,5,5,4,2,4,3,4,1,3,5
3,3,5,2,5,4,2,3,4,1,4,5,5,3,5,4,5,2,2,3,5,1,4,3,3,4,5,2,2,3,4,3,4,1,3,2
1,3,2,2,4,1,2,2,5,4,5,4,4,4,5,4,2,1,2,4,1,3,2,1,3,4,1,1,5,1,2,5,3,5,2,4
4,3,4,3,5,1,2,5,2,3,5,2,2,1,3,1,3,4,4,2,3,1,2,4,2,3,2,3,2,4,3,2,3,4,2,3
4,3,5,2,2,4,1,3,4,3,4,2,5,4,3,1,2,3,2,3,4,1,3,1,4,1,5,5,4,2,4, ,4,1, ,3
4,3,4,5,5,4,3,1,4,2,5,3,5,3,5,3,4,4,3,1,4,1,5,4,4,5,5,1,5,4,3,3,1,3,3,5
4,3,5,2,2,4,5,3,4,3,4,2,5,3,5,1,2,1,4,3,4,1,3,1,4,1,5,5,4,2,4,3,4,1,2,3
3,1,1,3,5,1,3,2,3,4,4,3,5,1,3,2,2,4,4,1,1,2,2,4,2,4,2,1,1,5,1,4,1,1,3,3
4,3,4,2,5,4,5,1,4,2,4,2,5,3,4,1,2,4,4,1,4,5,3,1,4,5,1,5,5,4,5,4,1,1,3,3
2,2,4,3,4,3,3,2,4,2,5,4,4,1,3,1,3,4,4,1,3,5,5,4,5,5,1,1,1,4,2,4,4,1,3,3
2,2,2,3,4,2,2,3,4,2,5,3,2,3,4,4,1,4,3,5,3,4,2,5,3,2,5,4,2,4,5,3,2,5,3,3
4,3,5,2,2,4,3,3,4,5,4,2,5,4,5,1,3,2,4,3,4,1,3,1,4,3,5,5,4,2,4,3,4,1,2,5
4,3,1,2,2,4,3,3,4,3,4,4,5,3,4,1,3,3,4,2,3,1,3,5,5,5,5,5,4,3,3,3,1,3,5,3
4,3,4,2,5,4,3,1,4,1,1,3,5,3,4,1,1,4,4,3,4,3,3,4,4,1,2,5,2,1,3,5,3,5,4,2
1,3,4,2,5,5,1,3,5,2,4,1,5,1,3,2,5,4,4,5,5,3,2,5,4,1,2,5,5,2,5,3,5,3,3,3
4,3,2,2,5,4,5,2,4,2,1,3,5,1,3,5,3,4,4,2,4,3,2,5,1,5,5,3,5,1,3,2,4,5,2,2
1,3,5,2,2,4,5,3,4,3,4,5,5,4,5,1,2,3,3,5,5,5,4,2,4,4,5,5,5,5,4,2,4,5,2,5
4,3,5,2,5,1,5,4,4,4,4,1,5,4,4,1,2,4,4,4,2,1,1,3,4,2,5,5,3,3,4,2,5,5,3,3
3,3,2,5,4,1,1,3,3,2,3,4,5,1,4,4,2,4,3,5,2,3,4,2,5,4,1,1,4,2,2,1,4,2,3,3
3,3,5,5,5,4,5,4,4,2,5,5,5,1,5,4,2,3,4,2,4,1,2,4,2,5,1,1,1,3,3,2,1,4,4,5
3,3,5, ,3,5,5,3,4,2,4, , ,3,5,3,1,4, , , ,1,2,4,2, , ,5,1,2,3,3, ,1, , 
4,3,2,2,4,4,2,1,4,2,4,1,5,3,5,1,5,4,4,2,2,1,4,4,2,2,4,1,4,2,3,4,3,1,5,2
4,1,4,3,5,4,3,3,4,2,4,2,3,1,2,3,1,2, , , , , , , , , , , , , , , , , , 
1,3,5,2,5,5,5,3,4,1,4,1,5,5,5,1,1,2,2,4,5,1,1,1,2,1,5,5,4,3,3,3,5,2,4,1
4,3,1,2,1,4,2,3,1,3,4,1,1,1,2,5,1,4,4,2,4,2,4,5,2,5,1,1,4,3,4,3,1,4,2,3
4,1,5,2,5,1,1,1,1,5,5,5,3,1,5,4,5,4,3,1,5,3,1,2,2,1,1,5,2,2,3,4,3,5,2,1
4,3,5,3,4,3,5,3,4,3,5,3,3,1,3,1,1,3,3,1,4,3,3,3,4,5,5,1,4,1,3,4,3,3,3,3
4,3,4,3,2,4,5,1,4,1,5,2,5,3,3,1,5,4,4,3,4,1,2,1,3,2,5,1,5,3,4,3,3,1,2,5
1,3,2,3,5,3,5,1,4,1,4,2,5,3,3,1,3,4,3,3,3,1,3,3,3,5,5,1,4,4,3,3,4,1,4,1
4,3,5,2,5,4,5,3,4,2,5,1,5,4,5,1,2,1,2,3,4,1,4,1,4,1,5,1,4,2,4,3,4,1,2,5
1,3,4,3,5,2,4,2,4,1,2,4,3,1,3,5,3,3,4,5,3,1,1,4,2,5,3,1,4,2,4,3,4,2,3,2
4,3,5,1,5,2,5,3,4,1,5,1,1,1,4,3,2,4,4,1,3,1,1,2,2,4,2,1,4,5,3,1,1,5,3,3
3,2,2,3,5,1,3,1,3,2,3,3,5,1,3,5,1,4,2,5,3,2,1,5,1,3,4,3,2,3,2,1,1,2,2,3
4,3,5,2,2,4,5,3,4,3,4,2,5,3,5,1,2,1,4,4,4,1,3,1,4,1,5,5,4,4,4,3,4,1,2,3
1,3,5,2,5,4,5,3,4,3,4,2,5,3,5,2,2,4,4,5,4,1,3,1,4,3,5,5,4,2,3,3,4,1,4,2
4,3,5,1,3,2,2,3,4,3,4,2,5,1,4,1,2,4,4,2,5,2,3,1,3,4,2,5,3,2,2,1,1,1,2,3
4,3,2,2,3,4,2,1,4,2,4,4,5,1,4,4,5,4,1,1,5,2,2,4,4,5,5,1,3,2,3,2,4,1,2,4
4,3,5,3,5,2,5,1,4,3,4,1,5,3,4,2,2,4,1,1,3,4,2,4,1,2,4,1,1,4,4,3, , , , 
4,1,2,1,4,3,3, ,4,5,1,3,2,1, ,1,1,4,2,2,4,2,3,5,2,1,4,4,1,5,2,3,3,1,3,2
4,3,5,3,2,4,3,5,4,2,4,4,5,1,4,1,5,4,3,1,4,5,3,1,4,4,5,1,1,1,3,3,5,1,2,4
4,3,5,2,5,4,5,3,4,4,4,3,5,3,2,3,2,4,3,1,4,1,3,1,4,2,5,5,4,3,3,3,4,3,2,3
5,3,4,3,5,4,5,3,4,1,5,5,5,4,5,1,5,1,4,4,2,1,2,1,1,5,5,5,1,3,2,4,4,1,2,3
4,3,5,2,3,1,1,3,4,1,4,4,3,3,4,1,1,2,5,2,4,5,3,1,4,2,5,1,2,4,4,1,4,1,2,3
4,3,2,2,2,1,2,3,2,3,5,4,5,1,4,1,1,4,2,3,4,4,4,2,3,4,2,1,2,5,3,4,1,3,3,4
3,3,5,2,4,4,3,5,4,2,4,4,5,1,5,1,5,4,4,4,3,3,4,1,2,2,3,1,2,4,2,3,4,2,3,2
3,3,5,2,2,5,5,3,4,5,4,2,5,3,1,1,2,1,3,4,4,1,3,1,4,3,5,5,4,2,2,1,4,5,3,5
4,3,3,2,5,4,3,3,4,2,4,4,5,1,2,1,5,2,4,4,4,1,4,5,3,4,4,1,5,1,5,5,1,1,1,5
1,1,2,4,5,4,2,2,4,2,5,1,5,3,4,5,3,1,3,2, ,3,2,3,4,1, ,1,5,2,3,3,5,3,3,2
4,3,5,2,5,4,2,1,4,3,1,1,3,1,4,1,2,4,3,5,5,1,3,1,4,1,5,1,1,3,2,4,1,1,3,3
2,1,5,3,5,4,1,1,1,2,1,4,5,1,5,1,4,4,3,3,4,3,4,1,4,5,5,1,3,1,3,4,4,2,3,1
4,3,5,2,2,4,2, ,4,2,4,2,5,5,5,1,5, ,4,3,4,1,3,1,4,1,5,5,4,2,4,3,4,1,2,3
4,3,5,2,3,3,5,3,4,3,4,1,5,1,1,3,2,4,4,3,4,4,3,3,4,1,3,5,4,3,3,3,2,3,4,5
4,3,5,2,5,4,5,1,4,2,4,2,5,3,5,1,5,4,4,1,4,1,1,1,2,1,1,5,4,4,5,3,4,1,3,1
4,3,5,5,2,5,4,1,4,1,5,5,5,3,5,1,5,2,3,1,4,1,3,1,4,1,1,5,4,5,5,1,4,2,2,3
4,3,5,1,5,5,2,1,4,3,3,2,5,1,4,2,3,4,4,1,4,1,3,4,2,4,5,5,4,4,3,4,2,5,4,5
4,3,2,5,5,5,5,3,4,2,4,1,3,1,3,4,1,4,3,4,4,1,3,1,4,3,3,2,1,2,3,3,3,2,3,3
4,3,5,2,2,1,5,5,4,2,4,5,5,4,4,1,3,5,4,4,4,5,2,1,4,1,1,1,4,5,3,4,5,5,3,5
4,2,2,1,4,1,5,3,4,2,4,5,5,3,3,1,3,4,4,5,5,5,3,2,4,1,2,5,1,5,2,4,4,1,4,1
1,3,5,1,5,1,2,1,4,2,4,5,5,4,5,2,3,3,3,2,3,1,3,1,3,4,1,1,4,2,2,1,4,2,5,1
4,3,5,2,5,4,3,3,5,2,4,2,5,1,5,1,5,3,3,1,3,1,3,1,2,4,1,5,4,3,3,3,4,5,3,4
4,3,5,2,5,5,5,3,4,5,4,2,5,1,3,1,3,4,1,5,3,1,3,4,4,4,5,5,3,2,3,3,4,1,5,3
4,3,5,2,5,1,2,2,4,4,5,1,5,1,4,3,3,2,3,5,2,4, ,5,1,4,1,3,1,3,5,3,5,1,2,2
4,1,5,5,5,3,5,3,4,3,4,5,5,1,1,3,4,4,3,1,3,1,3,1,4,4,2,5,5,4,3,4,3,1,4,3
4,3,5,2,2,4,5,3,4,1,5,1,5,3,5,3,3,2,1,3,4,1,3,4,4,1,5,5,4,1,3,4,2,1,2,4
5,3,2,2,4,2,4,2,4,1,5,4,5,5,3,1,5,4,3,1,3,3,3,1,1,5,2,2,2,5,1,1,1,5,3,1
4,3,2,1,5,5,3,3,4,3,1,1,1,3,5,3,5,4,3,4,4,4,3,2,1,4,3,1,1,2,3,1,5,4,2,3
4,3,5,2,2,4,5,3,4,5,4,2,5,5,5,1,2,1,4,3,4,1,3,1,4,1,5,5,4,2,4,3,4,1,2,5
4,3,5,2,3,4,5,3,4,3,4,1,5,3,5,4,2,3,4,4,4,4,2,1,3,1,1,1,4,2,3,3,5,1,3,3
4,3,2,2,2,5,5,3,4,1,4,2,3,3,5,3,5,1,3,5,5,1,3,1,5,1,5,1,1,2,2,3,4,1,4,1
4,3,2,2,5,3,5,3,1,1,3,1,2,1,4,1,5,3,3,3,4,1,1,1,4,1,2,1,4,1,3,3,3,1,3,4
4,3,4,2,5,3,3,3,4,2,4,2,5,4,3,1,2,4,3,1,3,3,2,4,2,5,3,5,4,3,3,3,4,1,3,3
4,3,1,1,5,4,3,3,4,2,4,4,5,3,5,1,5,1,3,1,4,4,3,1,2,4,5,5,5,3,4,3,4,5,2,5
4,3,4,2,3,5,5,1,4,5,4,2,5,3,3,1,2,5,4,4,3,1,2,1,4,1,2,5,4,4,3,1,4,3,2,3
4,3,1,5,4,2,5,1,4,2,4,2,5,1,5,1,3,4,5,5,4,4,3,1,5,1,5,5,4,2,3,3,5,5,2,5
4,3,5,2,5,4,4,3,4,2,4,2,5,5,4,1,2,1,4,4,4,1,3,1,4,1,5,5,4,2,4,3,4,3,3,5
5,3,5,3,5,4,5,3,4,4,4,2,3,1,4,1,5,2,4,1,4,1,3,4,4,1,5,5,5,5,3,3,4,2,2,2
4,3,4,1,5,4,3,5,4,3,5,5,3,2,5,3,3,4,4,4,5,4, ,1,4,1,5,1,4,3,3,3,3,2,4,1
4,3,5,2,2,4,5,2,1,3,4,2,5,4,4,1,5,1,4,4,3,4,3,4,4,1,5,5,4,2,3,3,4,1,3,5
